CompanyName,Website,Industry,HQ,Country,Description,CompanySize,DateVictimized,NumViews (of threat),RansomDataSize,RansomDataType,RansomwareGroup
Festspielhaus Baden-Baden,www.festspielhaus.de,Entertainment,, Germany,The Festspielhaus Baden-Baden is Germany's largest opera house. Its acoustics are considered one of the best in the world.,,2/4/24,31285,580,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Weld Plus,www.weldplus.com,Industrial Automation,, United States,Weld Plus has been serving the Cincinnati and Northern Kentucky and all through the Ohio Valley as well as International customers for over 20 years.,,2/4/24,31261,,"['PII', 'Customer and Client Data', 'Employee and HR data', 'Financial Data']",Play
JM Thompson,www.jmthompson.com,Construction,, United States,JM Thompson Co is a company that operates in the Construction industry.,,2/4/24,31253,200,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Tbr Kowalczyk,-,Accounting,, Poland,"Accounting, bookkeeping and auditing activities; tax consultancy",,2/4/24,31160,48,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Pavilion Construction,www.pavilionconstruction.com,Construction,, United States,"At Pavilion Construction, we understand our growth has been fueled by repeat business with satisfied clients. We have emerged as an industry leaderthrough our focus on the client, establishing reputable contracting services at unparalleled standards.",,30/3/24,30943,900,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Boingo Graphics,www.boingographics.com,Printing Services,, United States,"Boingo Graphics is committed to providing customers with a unique range of complete, scalable, and practical solutions that make sense. Whether youare shopping for graphic design, web sites, integrated direct mail campaigns, variable data printing, commercial printing, trade show graphics, wide format printing or fulfillment - Boingo Graphics has the solution for you.",,30/3/24,30871,155,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Premier Technology,www.premiertechnology.net,IT Services and IT Consulting,, United States,"Premier Technology: Home, Computer Networking, Computer Repair, Computer Sales, New Used, Consulting, Iowa; Cedar Rapids, Waterloo, Dubuque, Prairie du Chien, Davenport, Jesup, Monona, Fayette, Oelwein, Cascade.",,15/3/24,34236,66,"['PII', 'Customer and Client Data', 'Financial Data']",Play
SREE Hotels,www.sree.com,Hospitality,, United States,"SREE Hotels founded in 1980 and headquartered in Charlotte, North Carolina, is a hospitality management company providing fully integrated hotel development and management services throughout the Southeast and Midwest.",,14/3/24,34183,64,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Bridger Insurance,www.bridgerins.com,Insurance,, United States,"Bridger staff is intently focused to launch a new non-standard California auto insurance product by the end of 2017. Deep into the final quarter, the team is knee-deep implementing new operational procedures and systems to greatly improve agents' and policy holders' engagement with the new company.",,15/3/24,34142,67,"['PII', 'Databases', 'Customer and Client Data', 'Financial Data']",Play
BiTec,www.bitecsmi.com,Manufacturing,, United States,"BITEC is a custom precision machine shop. We use state-of-the-art computer numerically controlled (CNC) machine tools for major applications. We provide specialized products for the aerospace, entertainment, mechanical and medical industries. BITEC was established in 1985. Since then, we have earned a reputation for proficiency and quality.",,15/3/24,34119,,"['PII', 'Customer and Client Data', 'Employee and HR data', 'Financial Data']",Play
QI Group,www.qigroup.ca,Mining,, Canada,QI Group Ltd is a company that operates in the Retail industry.,,15/3/24,34112,120,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Fashion UK,www.fashions-uk.com,Retail,, United Kingdom,Fashion UK is a company that operates in the Apparel & Fashion industry.,,15/3/24,34073,41,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Grassmid Transport,www.grassmidtransportinc.com,Transportation,, United States,"Grassmid Transport Inc. based in Zeeland, MI was founded in 1967. Now operating more than 80 tractors and 200 trailers with 2/3 of our fleet beingrefrigerated and 1/3 being dry vans and step deck trailers. We have accounts with customers running for more than 20 years and keep good relations with all our clients. We haul products like meats, fruits, vegetables, water heaters, and office furniture priding ourselves in on-time and accurate deliveries.",,15/3/24,34084,28,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Image Pointe,www.imagepointe.com,Printing Services,, United States,Image Pointe is a leading supplier of apparel and promotional items.,,15/3/24,34003,95,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Ruda Auto,www.rudaauto.com,Automotive,, United States,"Ruda Auto is located in Monroe, Wisconsin, 53566. We offer great deals on new and used vehicles, service and parts.",,15/3/24,34106,,"['PII', 'Customer and Client Data', 'Employee and HR data', 'Financial Data']",Play
Canada Revenue Agency,www.zsb.ca,Accounting,, Canada,Canada Revenue Agency is a company that operates in the Accounting industry.,,15/3/24,34038,43,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Bechtold,www.bechtoldfenster.de,Construction,, Germany,Bechtold GmbH & Co is a company that operates in the Retail industry.,,15/3/24,34091,53,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Schokinag,www.schokinag.com,Food Production,, Germany,"SCHOKINAG manufactures the full range of chocolates and chocolate couvertures, from liquid to solid, in various sizes, shapes and packaging types,as well as liquid compounds.",,15/3/24,33876,196,"['PII', 'Customer and Client Data', 'Financial Data']",Play
QEO Group,www.qeo.com,Insurance,, United States,"QEO provides commercial transportation insurance products within three broad categories: energy, local delivery, and the construction industry.",,13/3/24,33615,82,"['PII', 'Customer and Client Data', 'Financial Data']",Play
MainVest,www.mainvest.com,Finance,, United States,MainVest is a community investment platform and Regulation Crowdfunding portal that empowers communities and small business entrepreneurs by allowing everyday Americans to invest in the local businesses they care most about and share in their wealth and success,,10/3/24,34566,162,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Continental Aerospace Technologies,www.continental.aero,Wholesale Import and Export,, United States,"Continental Aerospace Technologiesâ¢ is a global leader in General Aviation. They are the only company to offer a full range of gasoline and Jet-A engines, as well as avionics services. Continental Aerospace Technologies was founded in 1905 and is based in Alabama, the United States.",,9/3/24,34683,475,"['PII', 'Customer and Client Data', 'Financial Data']",Play
FBi Construction,www.fbiconstruction.com,Construction,, United States,FBi Construction is made up of dedicated people who believe in giving back to our community. We understand the value of giving our time and resources to help those who need our help the most.,,7/3/24,35619,112,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Kool-air,www.kool-air-inc.com,Consumer Services,, Canada,"Our talented engineering staff can custom design a system to suit your needs. New products are continually being developed and added to Kool-Air'scatalogue of products. Our state-of-the-art manufacturing plant is located in the city of Delson just outside Montreal, Quebec, Canada.",,7/3/24,35693,109,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Influence Communication,www.influencecommunication.com,Communication Services,, Canada,"Established in 2001, Influence is Canada's premier news information broker. From its head office in Montreal, Influence conducts media monitoring for the majority of Canada's largest corporations. With its Interactive Communication Environment (ICE) system and network of partners across Canada and in 160 countries, Influence offers comprehensive monitoring, aggregation and analysis of print and broadcast",,7/3/24,35637,249,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Coastal Car,www.coastalcar.com,Transportation,, United States,"Coastal Car Worldwide utilizes the FAA flight tracker system. This state of the art system tracks private, business, and commercial aircraft so that we can monitor the arrival of your flight, assuring you that no matter when your flight arrives, your vehicle will be waiting for you.",,7/3/24,35491,30,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Marketon,www.marketon.com,Business Services,, United States,"MARKETON INC., headquartered in El Monte, California, was founded by Constantino Miguel, who moved from his birthplace, Asturias, Spain, to Havana,Cuba in 1958, to work as a salesman with his uncle. Shortly after the Castro revolution, he moved back to Spain, before heading to America in 1968.",,7/3/24,35562,44,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Compact Mould,www.compactmould.com,Plastics Manufacturing,, Canada,"Compact Mould Ltd. is a Canadian-based manufacturer of high quality Extrusion Blow Molds, Stretch Blow Molds, and Injection Stretch Blow molds. Wecan offer a full range of services, including preform and bottle design, mold design, prototype tooling, high volume production tooling, as well as mold repairs, maintenance and modifications.",,7/3/24,35584,375,"['PII', 'Customer and Client Data', 'Financial Data']",Play
